,accdate,Operator_ID,AccTypeCodeDescr,AccSubTypeCodeDescr,acctype,BAITFISH Code,AccPreventable,Retraining,vehbusno,vehmake,vehyear,Drv_Age,CoDrvSex,Roadway,RoadwayLightConditions,RoadwayWeather,RoadwaySurface,Addr_Type,Neighborhood,LocAddr1,FileNumber,Longitude,Latitude,SpeedLimitCategory,n_accidents_in_0.003,n_accidents_in_0.006,n_accidents_in_0.0015,n_accidents_in_0.00075,n_accidents_in_0.0005,accday,acctime,acctimeperiod,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accyear,accmonth,accday_
59,2016-07-22 09:04:00,16,20,16,2,8,0,0,701,1,2004,64.0,2,5,2,0,0,1,2,583,570,-77.5952848,43.1596178,4,48,130,40,18,18,2016-07-22 00:00:00,09:04,1,25.0,-1.0,27.0,-1.0,-1.0,-1.0,33.0,-1.0,109,0.0,0.0,0.03,0.0,0.13,0.0,2016,7,22
60,2016-07-25 18:11:00,68,1,2,3,8,0,1,1318,7,2012,47.0,2,3,4,3,0,0,25,428,571,-77.6089468,43.1580474,4,65,234,7,1,0,2016-07-25 00:00:00,18:11,3,28.0,11.0,46.0,-1.0,-1.0,-1.0,78.0,-1.0,112,0.0,0.14,0.03,0.03,0.07,0.02,2016,7,25
61,2016-07-26 08:33:00,83,3,4,2,14,1,1,721,1,2005,48.0,2,4,2,0,0,0,25,368,572,-77.6394222,43.1736297,4,40,93,21,17,17,2016-07-26 00:00:00,08:33,1,29.0,31.0,98.0,-1.0,4.0,-1.0,58.0,7.0,113,0.14,0.0,0.07,0.0,0.1,0.0,2016,7,26
62,2016-07-26 18:17:00,116,20,18,2,8,0,0,772,1,2007,48.0,1,4,2,0,0,1,16,630,575,-77.6360579,43.1465979,4,23,108,10,9,8,2016-07-26 00:00:00,18:17,3,29.0,11.0,46.0,-1.0,-1.0,-1.0,16.0,-1.0,113,0.0,0.0,0.37,0.0,0.3,0.0,2016,7,26
63,2016-07-29 05:42:00,84,2,4,2,6,1,1,1406,7,2013,66.0,2,5,2,0,0,0,25,792,574,-77.6081421,43.1582509,4,100,233,4,0,0,2016-07-29 00:00:00,05:42,4,32.0,41.0,91.0,-1.0,-1.0,-1.0,26.0,9.0,116,0.0,0.14,0.13,0.03,0.23,0.03,2016,7,29
64,2016-07-29 05:42:00,124,2,4,2,4,1,1,722,1,2005,44.0,2,4,2,0,0,0,27,398,573,-77.6089468,43.1580474,4,65,234,7,1,0,2016-07-29 00:00:00,05:42,4,32.0,7.0,-1.0,-1.0,-1.0,-1.0,47.0,-1.0,116,0.0,0.0,0.03,0.0,0.15,0.0,2016,7,29
65,2016-08-03 12:15:00,59,20,16,2,8,0,0,1604,5,2016,54.0,1,5,2,0,1,0,5,490,576,-77.6169838,43.1243431,4,52,123,43,0,0,2016-08-03 00:00:00,12:15,2,37.0,16.0,78.0,-1.0,-1.0,27.0,-1.0,-1.0,121,0.0,0.0,0.17,0.03,0.55,0.02,2016,8,3
66,2016-08-05 18:20:00,27,22,33,2,8,0,0,386,7,2013,61.0,2,5,2,0,0,0,29,296,577,-77.5593671,43.21223819999999,3,10,15,10,2,2,2016-08-05 00:00:00,18:20,3,39.0,25.0,115.0,-1.0,-1.0,-1.0,41.0,-1.0,123,0.0,0.0,0.03,0.0,0.15,0.0,2016,8,5
67,2016-08-07 19:53:00,278,22,34,2,3,1,1,370,7,2010,26.0,2,5,2,0,0,0,36,161,578,-77.60458679999999,43.1540001,4,53,189,20,11,0,2016-08-07 00:00:00,19:53,3,41.0,51.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,125,0.0,0.0,0.0,0.0,0.07,0.0,2016,8,7
68,2016-08-08 11:12:00,292,2,4,2,4,1,1,1333,7,2012,29.0,1,5,2,0,0,0,25,139,579,-77.5748474,43.1611927,4,10,35,5,3,3,2016-08-08 00:00:00,11:12,1,42.0,2.0,35.0,-1.0,-1.0,106.0,22.0,45.0,126,0.14,0.0,0.27,0.0,0.17,0.0,2016,8,8
69,2016-08-09 13:50:00,189,22,33,2,8,0,0,381,7,2013,60.0,2,4,2,0,0,1,35,567,580,-77.638869,43.1870849,6,22,70,11,4,4,2016-08-09 00:00:00,13:50,2,43.0,18.0,96.0,-1.0,-1.0,-1.0,17.0,-1.0,127,0.0,0.0,0.07,0.0,0.03,0.0,2016,8,9
