,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accident_type
502,2016-12-30,298,115,91,5,212,39,236,138,-1,270,0.14,0.0,0.03,0.03,0.03,0.02,1
503,2017-08-21,298,56,15,4,446,86,217,8,234,504,0.14,0.0,0.3,0.0,0.23,0.0,0
504,2017-09-16,298,12,41,2,472,112,243,34,26,530,0.14,0.0,0.07,0.0,0.2,0.0,1
505,2018-07-26,298,31,20,7,306,425,556,25,313,843,0.0,0.0,0.27,0.0,0.27,0.03,0
506,2019-05-13,298,42,13,4,597,191,847,99,291,1134,0.14,0.0,0.2,0.03,0.25,0.02,0
507,2017-06-21,299,79,50,29,101,-1,-1,157,-1,443,0.0,0.0,0.03,0.0,0.03,0.0,1
508,2016-10-06,300,30,10,11,52,177,-1,39,-1,185,0.0,0.0,0.13,0.0,0.2,0.0,1
509,2017-11-01,300,58,10,7,78,568,108,66,391,576,0.0,0.0,0.33,0.0,0.32,0.0,0
510,2016-08-12,302,46,62,45,-1,-1,-1,-1,-1,130,0.0,0.0,0.0,0.07,0.03,0.03,0
511,2016-09-08,302,2,25,72,-1,-1,-1,11,27,157,0.0,0.0,0.27,0.03,0.13,0.05,0
512,2017-05-20,302,47,60,102,142,-1,-1,20,254,411,0.0,0.0,0.23,0.0,0.12,0.0,0
513,2018-09-26,302,23,28,19,41,-1,185,87,494,905,0.0,0.0,0.07,0.0,0.08,0.0,0
514,2019-07-09,302,8,13,29,192,-1,1,254,286,1191,0.14,0.0,0.2,0.0,0.12,0.0,0
515,2018-02-21,303,51,21,3,483,670,34,178,-1,688,0.14,0.0,0.17,0.0,0.52,0.0,0
516,2018-03-31,305,89,1,40,67,99,66,118,-1,726,0.86,0.0,0.5,0.0,0.32,0.0,0
517,2018-09-18,305,15,123,3,106,34,237,93,171,897,0.14,0.0,0.07,0.0,0.15,0.0,1
518,2017-03-22,308,79,62,83,91,88,-1,206,-1,352,0.0,0.0,0.0,0.0,0.0,0.0,0
519,2018-02-02,308,32,13,16,169,160,-1,124,317,669,0.0,0.0,0.13,0.0,0.07,0.02,0
520,2019-02-28,308,52,32,51,69,101,-1,158,391,1060,0.0,0.0,0.0,0.0,0.08,0.0,0
521,2016-06-22,309,79,11,5,-1,-1,-1,-1,-1,79,0.14,0.0,0.1,0.03,0.05,0.02,0
522,2016-09-16,309,10,16,30,-1,-1,-1,19,86,165,0.0,0.0,0.33,0.0,0.22,0.0,0
523,2018-02-12,309,42,55,49,142,126,-1,85,514,679,0.0,0.0,0.0,0.0,0.05,0.0,0
524,2016-11-18,310,73,8,-1,-1,-1,-1,-1,-1,228,0.0,0.0,0.1,0.0,0.07,0.02,0
525,2018-03-16,310,74,11,9,292,-1,323,12,483,711,0.0,0.0,0.47,0.0,0.23,0.0,1
526,2018-12-30,310,118,44,20,216,-1,612,182,289,1000,0.0,0.0,0.03,0.0,0.13,0.0,0
527,2016-09-21,311,15,19,-1,-1,-1,76,-1,-1,170,0.0,0.0,0.03,0.0,0.02,0.0,0
528,2016-07-13,312,16,18,54,-1,-1,-1,-1,-1,100,0.0,0.0,0.03,0.0,0.1,0.0,1
529,2018-01-14,312,13,69,157,216,425,-1,196,550,650,0.0,0.0,0.0,0.0,0.0,0.0,1
530,2016-05-06,313,32,-1,-1,-1,-1,-1,-1,-1,32,0.0,0.0,0.0,0.0,0.0,0.0,1
531,2017-11-05,314,62,-1,235,153,-1,-1,112,-1,580,0.0,0.0,0.0,0.0,0.0,0.0,0
532,2019-01-02,314,121,-1,15,211,-1,-1,185,423,1003,0.0,0.0,0.03,0.0,0.02,0.0,0
533,2019-04-17,314,16,56,37,94,-1,-1,10,105,1108,0.0,0.0,0.2,0.0,0.15,0.0,0
534,2016-08-31,315,65,21,6,-1,-1,-1,-1,-1,149,0.14,0.0,0.23,0.0,0.12,0.0,1
535,2017-12-30,315,117,266,1,208,-1,-1,153,486,635,0.14,0.0,0.07,0.0,0.08,0.0,1
536,2016-09-15,317,9,59,-1,-1,3,-1,-1,-1,164,0.14,0.0,0.03,0.0,0.03,0.0,0
537,2016-12-15,318,100,77,39,-1,-1,-1,-1,-1,255,0.0,0.0,0.0,0.0,0.02,0.0,1
538,2017-11-26,318,83,28,56,57,49,122,21,346,601,0.0,0.0,0.3,0.0,0.22,0.0,0
539,2018-12-17,318,105,29,238,189,345,508,71,386,987,0.0,0.0,0.03,0.0,0.07,0.0,1
540,2017-07-10,319,14,79,19,71,-1,-1,-1,-1,462,0.0,0.0,0.1,0.03,0.05,0.02,0
541,2018-01-19,319,18,46,55,264,7,23,145,193,655,0.0,0.0,0.27,0.0,0.48,0.0,0
542,2018-11-23,319,81,83,33,164,167,331,26,308,963,0.0,0.0,0.13,0.0,0.15,0.0,1
543,2019-01-29,319,22,2,21,231,20,398,93,67,1030,0.43,0.0,0.2,0.0,0.17,0.0,1
544,2016-12-21,321,106,9,15,116,189,174,-1,-1,261,0.0,0.0,0.1,0.0,0.07,0.0,1
545,2017-10-28,321,54,25,6,2,169,75,83,311,572,0.29,0.0,0.27,0.0,0.22,0.0,0
546,2018-01-16,321,15,43,9,82,249,155,2,80,652,0.71,0.0,0.37,0.0,0.33,0.0,0
547,2018-05-20,321,48,6,14,206,373,41,126,124,776,0.14,0.0,0.13,0.0,0.27,0.0,1
548,2016-05-03,323,29,8,14,-1,-1,-1,-1,-1,29,0.0,0.0,0.07,0.0,0.07,0.0,1
549,2018-11-12,323,70,11,63,-1,640,347,-1,923,952,0.0,0.0,0.1,0.0,0.12,0.0,1
550,2018-12-07,323,95,6,88,-1,665,372,-1,25,977,0.14,0.0,0.07,0.0,0.1,0.0,1
551,2016-11-28,324,83,107,32,29,142,-1,-1,-1,238,0.0,0.0,0.03,0.0,0.07,0.0,1
552,2017-01-27,324,25,42,17,89,202,-1,-1,60,298,0.0,0.0,0.03,0.0,0.05,0.0,1
553,2018-01-30,324,29,100,44,457,570,-1,184,368,666,0.0,0.0,0.0,0.0,0.02,0.0,0
554,2018-11-28,324,86,185,66,759,872,-1,31,302,968,0.0,0.0,0.0,0.03,0.12,0.02,1
555,2017-05-04,328,31,-1,-1,-1,-1,-1,-1,-1,395,0.0,0.0,0.0,0.0,0.0,0.0,0
556,2016-06-27,329,84,-1,-1,-1,-1,-1,-1,-1,84,0.0,0.0,0.0,0.0,0.0,0.0,1
